表4-1  科系別學生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,BCODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8
97,0008,國立中央大學,D,D,440301,物理學系博士班,54,48,6,12,3,14,2,6,1,4,,7,,3,,2,,,
97,0008,國立中央大學,D,D,440101,化學學系博士班,34,32,2,8,,9,,5,,2,,6,1,1,,1,1,,
97,0008,國立中央大學,D,D,420103,生命科學系博士班,27,19,8,10,1,2,5,6,,1,2,,,,,,,,
97,0008,國立中央大學,D,D,460201, 統計研究所博士班,18,13,5,1,,2,3,2,,2,2,1,,4,,1,,,
97,0008,國立中央大學,D,D,520108,光電科學與工程學系博士班,80,69,11,14,3,17,3,13,1,7,1,11,2,5,1,2,,,
97,0008,國立中央大學,D,D,440601,天文研究所博士班,23,14,9,4,3,2,,3,2,1,,,3,2,1,2,,,
97,0008,國立中央大學,D,D,420604,生物資訊與系統生物研究所博士班,18,15,3,4,3,7,,4,,,,,,,,,,,
97,0008,國立中央大學,D,D,520301,土木工程學系博士班,99,95,4,13,,12,2,15,2,15,,17,,11,,12,,,
97,0008,國立中央大學,D,D,520201,機械工程學系博士班,196,190,6,26,2,31,,41,,32,2,33,1,17,,10,1,,
97,0008,國立中央大學,D,D,520403,化學工程與材料工程學系博士班,49,45,4,8,1,11,1,2,,8,,8,,1,2,7,,,
97,0008,國立中央大學,D,D,349927,營建管理研究所博士班,10,10,0,1,,5,,4,,,,,,,,,,,
97,0008,國立中央大學,D,D,520901,環境工程研究所博士班,25,18,7,3,3,5,1,,2,5,,1,,1,,3,1,,
97,0008,國立中央大學,D,D,520502,材料科學與工程研究所博士班,3,2,1,2,1,,,,,,,,,,,,,,
97,0008,國立中央大學,D,D,340301,企業管理學系博士班,130,79,51,19,14,21,8,11,8,12,8,9,6,2,3,5,4,,
97,0008,國立中央大學,D,D,480109,資訊管理學系博士班,73,50,23,12,1,8,2,7,4,11,2,5,8,4,4,3,2,,
97,0008,國立中央大學,D,D,310104,產業經濟研究所博士班,36,16,20,4,2,5,2,,2,2,2,3,6,,1,2,5,,
97,0008,國立中央大學,D,D,349906,工業管理研究所博士班,17,15,2,2,,3,,2,1,4,,2,1,2,,,,,
97,0008,國立中央大學,D,D,349919,人力資源管理研究所博士班,25,6,19,4,2,1,6,,3,1,3,,2,,1,,2,,
97,0008,國立中央大學,D,D,340501,財務金融學系博士班,20,13,7,3,1,2,,1,1,4,1,2,3,,1,1,,,
