表4-1  科系別學生人數統計(依據103/10/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,八年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8,M9,F9
103,8,國立中央大學,V,碩士在職專班,349927,    營建管理研究所碩士在職專班,59,44,15,18,6,14,6,7,3,4,0,1,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,V,碩士在職專班,520901,    環境工程研究所碩士在職專班,78,61,17,22,4,19,10,8,1,4,0,8,2,0,0,0,0,0,0,0,0
103,8,國立中央大學,V,碩士在職專班,520911,    國際永續發展碩士在職專班,18,11,7,5,2,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,V,碩士在職專班,349939,    管理學院高階主管企管碩士班,203,150,53,69,23,59,27,13,2,6,1,3,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,V,碩士在職專班,340301,    企業管理學系碩士在職專班,74,29,45,10,17,13,13,2,10,2,4,2,1,0,0,0,0,0,0,0,0
103,8,國立中央大學,V,碩士在職專班,480109,    資訊管理學系碩士在職專班,54,39,15,20,10,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,V,碩士在職專班,310104,    產業經濟研究所碩士在職專班,68,34,34,11,12,13,11,8,6,1,4,1,1,0,0,0,0,0,0,0,0
103,8,國立中央大學,V,碩士在職專班,349906,    工業管理研究所碩士在職專班,63,47,16,22,7,19,8,1,0,2,1,3,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,V,碩士在職專班,349919,    人力資源管理研究所碩士在職專班,58,17,41,6,23,11,15,0,2,0,0,0,1,0,0,0,0,0,0,0,0
103,8,國立中央大學,V,碩士在職專班,340501,    財務金融學系碩士在職專班,56,26,30,11,15,13,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,V,碩士在職專班,520101,    電機工程學系碩士在職專班,25,23,2,0,0,0,0,0,0,3,1,20,1,0,0,0,0,0,0,0,0
103,8,國立中央大學,V,碩士在職專班,520114,    資訊工程學系碩士在職專班,93,81,12,26,3,23,4,15,3,10,1,7,1,0,0,0,0,0,0,0,0
103,8,國立中央大學,V,碩士在職專班,520126,    通訊工程學系碩士在職專班,79,77,2,20,1,23,1,12,0,12,0,10,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,V,碩士在職專班,311025,    客家語文暨社會科學學系客家研究碩士在職專班,71,20,51,7,15,6,20,1,11,2,2,4,3,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,4,SUBT4,博士班           共計,1175,908,267,150,57,130,33,130,35,135,41,115,39,113,27,129,34,0,0,6,1
103,8,國立中央大學,D,博士班,220201,    中國文學系博士班,44,18,26,4,4,1,3,3,6,2,5,4,4,2,2,2,2,0,0,0,0
