1091(依據109/10/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,八年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8,M9,F9
109,8,國立中央大學,D,M,1221,    產業經濟研究所碩士班,55,22,33,8,17,10,12,3,3,1,1,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1227,    工業管理研究所碩士班,51,31,20,13,11,15,8,1,1,2,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1224,    人力資源管理研究所碩士班,61,6,55,2,25,2,24,2,4,0,2,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1218,    財務金融學系碩士班,65,35,30,19,13,14,14,1,2,1,1,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1215,    經濟學系碩士班,31,16,15,11,6,4,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,5478,    會計研究所碩士班,30,16,14,6,8,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1231,    電機工程學系碩士班,331,287,44,125,17,108,22,46,5,8,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1235,    資訊工程學系碩士班,262,185,77,92,41,77,34,10,2,6,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1239,    通訊工程學系碩士班,132,108,24,47,12,43,7,14,3,4,2,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1241,    網路學習科技研究所碩士班,43,25,18,12,10,11,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,9934,    資訊工程學系軟體工程碩士班,21,21,0,10,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,14701,    資訊工程學系AI碩士班,15,14,1,9,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,9641,    大氣科學學系大氣物理碩士班,52,29,23,11,6,10,15,7,2,1,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,9643,    地球科學學系地球物理碩士班,47,29,18,10,5,15,9,3,3,1,1,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1252,    應用地質研究所碩士班,38,24,14,8,7,15,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1253,    水文與海洋科學研究所碩士班,25,18,7,7,5,8,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,15185,    太空科學與工程學系碩士班,42,36,6,15,0,15,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1257,    法律與政府研究所碩士班,45,20,25,5,9,7,10,5,4,3,2,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,9936,    客家語文暨社會科學學系客家社會文化碩士班,15,3,12,1,5,0,1,1,2,1,4,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,9938,    客家語文暨社會科學學系客家語文碩士班,21,7,14,3,4,1,2,3,4,0,4,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,9464,    客家語文暨社會科學學系客家政治經濟碩士班,18,6,12,4,3,1,5,1,1,0,3,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1179,    生命科學系碩士班,65,26,39,9,11,10,17,7,9,0,2,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1180,    認知神經科學研究所碩士班,20,6,14,1,4,4,6,1,2,0,2,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,10238,    生醫科學與工程學系系統生物與生物資訊碩士班,26,16,10,8,5,6,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,10237,    生醫科學與工程學系生物醫學工程碩士班,57,37,20,16,10,16,9,4,1,1,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,V,3,SUBT3,碩士在職專班           共計,1375,853,522,331,212,290,214,125,43,61,30,46,23,0,0,0,0,0,0,46,23
