表4-1  科系別學生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,本表以981015資料為準，同報教育部統計資料,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8
98,0008,國立中央大學,D,M,220201,    中國文學系碩士班,57,14,43,3,8,5,12,5,18,1,5,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,220310,    英美語文學系碩士班,54,18,36,3,7,5,6,4,9,6,14,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,220314,    法國語文學系碩士班,23,2,21,1,3,0,6,1,5,0,7,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,221101,    哲學研究所碩士班,46,20,26,5,4,5,6,6,6,4,10,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,220901,    歷史研究所碩士班,54,38,16,7,5,7,2,9,6,15,3,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,210701,    藝術學研究所碩士班,45,4,41,0,12,1,9,1,5,2,15,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,140111,    學習與教學研究所碩士班,26,3,23,2,8,0,11,1,4,0,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,210520,    戲曲研究所碩士班,3,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,460101,    數學系碩士班,60,44,16,14,9,26,7,4,0,0,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,440301,    物理學系碩士班,83,69,14,27,7,25,3,12,4,5,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,440101,    化學學系碩士班,112,67,45,31,30,33,15,2,0,1,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,420103,    生命科學系碩士班,62,20,42,10,17,6,16,4,7,0,2,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,460201,    統計研究所碩士班,40,19,21,9,10,10,11,0,0,0,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,520106,    光電科學與工程學系碩士班,141,124,17,58,6,47,8,14,3,5,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,310510,    認知與神經科學研究所碩士班,17,7,10,3,2,3,6,1,2,0,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,440601,    天文研究所碩士班,29,14,15,5,6,4,4,5,4,0,1,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,440304,    生物物理研究所碩士班,15,10,5,5,0,2,2,3,3,0,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,520165,    照明與顯示科技研究所,15,13,2,8,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,420611,    系統生物與生物資訊研究所碩士班,28,15,13,5,7,8,4,2,2,0,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,520301,    土木工程學系碩士班,220,179,41,81,18,69,20,23,3,6,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,520201,    機械工程學系碩士班,198,183,15,83,10,80,4,17,1,3,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,520403,    化學工程與材料工程學系碩士班,132,104,28,54,12,40,16,9,0,1,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,M,349927,    營建管理研究所碩士班,30,21,9,9,7,12,2,0,0,0,0,0,0,0,0,0,0,0,0
