日期,標題,連結
2025-01-03-事務組,【落實資源回收】智慧型回收機（保特瓶、鋁罐及電池），請大家多多利用,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/ee53f099-e207-4fce-83f3-70b26e13412d
2024-12-30-營繕組,【施工/人行道封閉公告】114年1月2日至114年4月2日 中大新村39~42號建築物拆除暨機車停車場設置工程 施工公告,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/11679793-feae-4f38-968a-7b31d32f5764
2024-12-30-事務組,【登記抽籤公告】本校114年度前門觀景臺機車棚申請停放資格抽籤登記公告,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/471e4ecb-380d-4ca6-ae91-8685555bbee1
2024-12-27-事務組,＜＜施工公告>＞113年12月28日－31日國泰樹草地大榕樹支撐架作業,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/6cba4654-ef29-4c1e-963c-19732aa4600b
2024-12-25-事務組,【公告】後門入校汽車道及自行車道調整試行辦理至114年1月12日,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/dde35812-52d6-413f-9f9b-f3d71f4ea9c6
2024-12-09-事務組,【公告】國泰樹草地的大榕樹感染褐根病，請暫時不要逗留樹下,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/04f15cd3-cf99-4b94-bc11-be75c7f10407
2024-11-28-事務組,【公告】113/11/29松毛蟲防治,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/630186ea-c28a-44bb-99db-82f465eaaa94
2024-11-27-事務組,"【公車改道】113年12月3日(星期二)全校師生校園路跑活動，公車改道公告 Bus routes diversion on 3, DEC, 2024.",https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/1b64c575-7145-47a1-98c0-d39be7fabfab
2024-11-14-事務組,"【公車改道】113年11月20日(三)運動會公車改道公告Bus routes diversion on 20, NOV, 2024",https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/d0226de8-ea3a-4d70-b263-9cfaced20933
2024-11-05-事務組,【公告】113/11/06天牛防治及植栽病蟲害防治,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/1ede70c5-fccf-4f9e-826a-e918214551ba
2024-10-24-事務組,【公車公告】【133】中壢 – 中央大學，自113/10/28(一)起微調部分班次發車時間,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/a7362f4b-7de0-4cd0-96df-5a563199b319
2024-10-23-事務組,《公告》土木系前大榕樹褐根病防治,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/9e0719b6-84f4-4fdf-a0bf-993c0d5fdf3f
2024-09-20-事務組,【公車公告】【172】及【173】中央大學 - 高鐵桃園站，自113/09/23(一)起調整部分班次發車時刻,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/b21f8130-cad3-41dc-bd80-ee002f51a72b
2024-09-04-事務組,【除草公告】113年9月9日至11日進行汽車停車場除草作業,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/c400ceeb-1644-4b93-ac81-abe5b50454d9
2024-09-03-事務組,"【公車站牌臨時調整】因應依仁堂人行道改善工程，站牌調整The bus stop position adjusted temporarily of NCU (from 3,June,2024 to 13,September ,2024)",https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/10914740-a0a5-4dd6-9e6c-4800e43bab34
2024-09-02-事務組,【標誌標線施工】電動車車格標誌標線及前門觀景台植草磚車格標線施工,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/8f07693e-f4fa-49c1-ae75-50a095fdc5e0
